,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:02:00,101727.07,SW,8.05,0.0,87320.35,-1.45,32.76,226.0,9.0,4.92,0.0,100273.36,36.11,D2000,4163,-120.59667,40.37783
1,2018-08-01 00:07:00,101727.07,SW,7.15,0.0,87320.35,-1.45,32.76,217.0,9.0,4.02,0.0,100273.36,36.11,D2000,4163,-120.59667,40.37783
2,2018-08-01 00:12:00,101727.07,SW,7.15,0.0,87320.35,-3.01,32.6,226.0,8.0,4.02,0.0,100273.41,36.11,D2000,4163,-120.59667,40.37783
3,2018-08-01 00:17:00,101727.07,SSW,6.7,0.0,87320.35,-1.87,32.26,195.0,9.0,4.47,0.0,100297.76,35.56,D2000,4163,-120.59667,40.37783
4,2018-08-01 00:22:00,101727.07,WSW,7.15,0.0,87320.35,-1.87,32.26,248.0,9.0,3.58,0.0,100297.76,35.56,D2000,4163,-120.59667,40.37783
5,2018-08-01 00:27:00,101727.07,WSW,7.6,0.0,87320.35,-3.43,32.1,252.0,8.0,4.02,0.0,100297.81,35.56,D2000,4163,-120.59667,40.37783
6,2018-08-01 00:32:00,101727.07,W,7.6,0.0,87320.35,-1.87,32.26,262.0,9.0,3.58,0.0,100297.76,35.56,D2000,4163,-120.59667,40.37783
7,2018-08-01 00:37:00,101727.07,W,6.26,0.0,87320.35,-1.87,32.26,271.0,9.0,4.02,0.0,100297.76,35.56,D2000,4163,-120.59667,40.37783
8,2018-08-01 00:42:00,101727.07,WSW,6.26,0.0,87320.35,-0.46,32.43,254.0,10.0,3.13,0.0,100297.72,35.56,D2000,4163,-120.59667,40.37783
9,2018-08-01 00:47:00,101727.07,W,6.26,0.0,87320.35,-1.87,32.26,266.0,9.0,3.58,0.0,100297.76,35.56,D2000,4163,-120.59667,40.37783
10,2018-08-01 00:52:00,101693.2,W,6.26,0.0,87291.27,-0.46,32.43,275.0,10.0,4.02,0.0,100264.32,35.56,D2000,4163,-120.59667,40.37783
11,2018-08-01 00:57:00,101693.2,W,6.26,0.0,87291.27,-0.46,32.43,278.0,10.0,4.02,0.0,100264.32,35.56,D2000,4163,-120.59667,40.37783
12,2018-08-01 01:02:00,101693.2,WSW,6.7,0.0,87291.27,-1.87,32.26,247.0,9.0,4.47,0.0,100264.36,35.56,D2000,4163,-120.59667,40.37783
13,2018-08-01 01:07:00,101693.2,W,6.7,0.0,87291.27,-2.3,31.76,262.0,9.0,4.02,0.0,100289.29,35.0,D2000,4163,-120.59667,40.37783
