,date_time,precip_accum_set_1,T_water_temp_set_1,volt_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,426.72,11.28,12.7,,TRHC1,1912,-122.79333,40.72667
1,2018-08-01 00:15:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
2,2018-08-01 00:30:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
3,2018-08-01 00:45:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
4,2018-08-01 01:00:00,426.72,11.28,12.8,,TRHC1,1912,-122.79333,40.72667
5,2018-08-01 01:15:00,426.72,11.33,,,TRHC1,1912,-122.79333,40.72667
6,2018-08-01 01:30:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
7,2018-08-01 01:45:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
8,2018-08-01 02:00:00,426.72,11.28,12.7,,TRHC1,1912,-122.79333,40.72667
9,2018-08-01 02:15:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
10,2018-08-01 02:30:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
11,2018-08-01 02:45:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
12,2018-08-01 03:00:00,426.72,11.22,12.7,,TRHC1,1912,-122.79333,40.72667
13,2018-08-01 03:15:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
14,2018-08-01 03:30:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
15,2018-08-01 03:45:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
16,2018-08-01 04:00:00,426.72,11.22,12.5,,TRHC1,1912,-122.79333,40.72667
17,2018-08-01 04:15:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
18,2018-08-01 04:30:00,426.72,11.28,,,TRHC1,1912,-122.79333,40.72667
19,2018-08-01 04:45:00,426.72,11.22,,,TRHC1,1912,-122.79333,40.72667
20,2018-08-01 05:00:00,426.72,11.17,12.4,0.0,TRHC1,1912,-122.79333,40.72667
21,2018-08-01 05:15:00,426.72,11.17,,,TRHC1,1912,-122.79333,40.72667
22,2018-08-01 05:30:00,426.72,11.11,,,TRHC1,1912,-122.79333,40.72667
