,date_time,precip_accum_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
1,2018-08-01 00:15:00,222.504,,TCRC1,720,-122.52861,39.88778
2,2018-08-01 00:30:00,222.504,,TCRC1,720,-122.52861,39.88778
3,2018-08-01 00:45:00,222.504,,TCRC1,720,-122.52861,39.88778
4,2018-08-01 01:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
5,2018-08-01 01:15:00,222.504,,TCRC1,720,-122.52861,39.88778
6,2018-08-01 01:30:00,222.504,,TCRC1,720,-122.52861,39.88778
7,2018-08-01 01:45:00,222.504,,TCRC1,720,-122.52861,39.88778
8,2018-08-01 02:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
9,2018-08-01 02:15:00,222.504,,TCRC1,720,-122.52861,39.88778
10,2018-08-01 02:30:00,222.504,,TCRC1,720,-122.52861,39.88778
11,2018-08-01 02:45:00,222.504,,TCRC1,720,-122.52861,39.88778
12,2018-08-01 03:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
13,2018-08-01 03:15:00,222.504,,TCRC1,720,-122.52861,39.88778
14,2018-08-01 03:30:00,222.504,,TCRC1,720,-122.52861,39.88778
15,2018-08-01 03:45:00,222.504,,TCRC1,720,-122.52861,39.88778
16,2018-08-01 04:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
17,2018-08-01 04:15:00,222.504,,TCRC1,720,-122.52861,39.88778
18,2018-08-01 04:30:00,222.504,,TCRC1,720,-122.52861,39.88778
19,2018-08-01 04:45:00,222.504,,TCRC1,720,-122.52861,39.88778
20,2018-08-01 05:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
21,2018-08-01 05:15:00,222.504,,TCRC1,720,-122.52861,39.88778
22,2018-08-01 05:30:00,222.504,,TCRC1,720,-122.52861,39.88778
23,2018-08-01 05:45:00,222.504,,TCRC1,720,-122.52861,39.88778
24,2018-08-01 06:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
25,2018-08-01 06:15:00,222.504,,TCRC1,720,-122.52861,39.88778
26,2018-08-01 06:30:00,222.504,,TCRC1,720,-122.52861,39.88778
27,2018-08-01 06:45:00,222.504,,TCRC1,720,-122.52861,39.88778
28,2018-08-01 07:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
29,2018-08-01 07:15:00,222.504,,TCRC1,720,-122.52861,39.88778
30,2018-08-01 07:30:00,222.504,,TCRC1,720,-122.52861,39.88778
31,2018-08-01 07:45:00,222.504,,TCRC1,720,-122.52861,39.88778
32,2018-08-01 08:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
33,2018-08-01 08:15:00,222.504,,TCRC1,720,-122.52861,39.88778
34,2018-08-01 08:30:00,222.504,,TCRC1,720,-122.52861,39.88778
35,2018-08-01 08:45:00,222.504,,TCRC1,720,-122.52861,39.88778
36,2018-08-01 09:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
37,2018-08-01 09:15:00,222.504,,TCRC1,720,-122.52861,39.88778
38,2018-08-01 09:30:00,222.504,,TCRC1,720,-122.52861,39.88778
39,2018-08-01 09:45:00,222.504,,TCRC1,720,-122.52861,39.88778
40,2018-08-01 10:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
41,2018-08-01 10:15:00,222.504,,TCRC1,720,-122.52861,39.88778
42,2018-08-01 10:30:00,222.504,,TCRC1,720,-122.52861,39.88778
43,2018-08-01 10:45:00,222.504,,TCRC1,720,-122.52861,39.88778
44,2018-08-01 11:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
45,2018-08-01 11:15:00,222.504,,TCRC1,720,-122.52861,39.88778
46,2018-08-01 11:30:00,222.504,,TCRC1,720,-122.52861,39.88778
47,2018-08-01 11:45:00,222.504,,TCRC1,720,-122.52861,39.88778
48,2018-08-01 12:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
49,2018-08-01 12:15:00,222.504,,TCRC1,720,-122.52861,39.88778
50,2018-08-01 12:30:00,222.504,,TCRC1,720,-122.52861,39.88778
51,2018-08-01 12:45:00,222.504,,TCRC1,720,-122.52861,39.88778
52,2018-08-01 13:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
53,2018-08-01 13:15:00,222.504,,TCRC1,720,-122.52861,39.88778
54,2018-08-01 13:30:00,222.504,,TCRC1,720,-122.52861,39.88778
55,2018-08-01 13:45:00,222.504,,TCRC1,720,-122.52861,39.88778
56,2018-08-01 14:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
57,2018-08-01 14:15:00,222.504,,TCRC1,720,-122.52861,39.88778
58,2018-08-01 14:30:00,222.504,,TCRC1,720,-122.52861,39.88778
59,2018-08-01 14:45:00,222.504,,TCRC1,720,-122.52861,39.88778
60,2018-08-01 15:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
61,2018-08-01 15:15:00,222.504,,TCRC1,720,-122.52861,39.88778
62,2018-08-01 15:30:00,222.504,,TCRC1,720,-122.52861,39.88778
63,2018-08-01 15:45:00,222.504,,TCRC1,720,-122.52861,39.88778
64,2018-08-01 16:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
65,2018-08-01 16:15:00,222.504,,TCRC1,720,-122.52861,39.88778
66,2018-08-01 16:30:00,222.504,,TCRC1,720,-122.52861,39.88778
67,2018-08-01 16:45:00,222.504,,TCRC1,720,-122.52861,39.88778
68,2018-08-01 17:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
69,2018-08-01 17:15:00,222.504,,TCRC1,720,-122.52861,39.88778
70,2018-08-01 17:30:00,222.504,,TCRC1,720,-122.52861,39.88778
71,2018-08-01 17:45:00,222.504,,TCRC1,720,-122.52861,39.88778
72,2018-08-01 18:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
73,2018-08-01 18:15:00,222.504,,TCRC1,720,-122.52861,39.88778
74,2018-08-01 18:30:00,222.504,,TCRC1,720,-122.52861,39.88778
75,2018-08-01 18:45:00,222.504,,TCRC1,720,-122.52861,39.88778
76,2018-08-01 19:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
77,2018-08-01 19:15:00,222.504,,TCRC1,720,-122.52861,39.88778
78,2018-08-01 19:30:00,222.504,,TCRC1,720,-122.52861,39.88778
79,2018-08-01 19:45:00,222.504,,TCRC1,720,-122.52861,39.88778
80,2018-08-01 20:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
81,2018-08-01 20:15:00,222.504,,TCRC1,720,-122.52861,39.88778
82,2018-08-01 20:30:00,222.504,,TCRC1,720,-122.52861,39.88778
83,2018-08-01 20:45:00,222.504,,TCRC1,720,-122.52861,39.88778
84,2018-08-01 21:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
85,2018-08-01 21:15:00,222.504,,TCRC1,720,-122.52861,39.88778
86,2018-08-01 21:30:00,222.504,,TCRC1,720,-122.52861,39.88778
87,2018-08-01 21:45:00,222.504,,TCRC1,720,-122.52861,39.88778
88,2018-08-01 22:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
89,2018-08-01 22:15:00,222.504,,TCRC1,720,-122.52861,39.88778
90,2018-08-01 22:30:00,222.504,,TCRC1,720,-122.52861,39.88778
91,2018-08-01 22:45:00,222.504,,TCRC1,720,-122.52861,39.88778
92,2018-08-01 23:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
93,2018-08-01 23:15:00,222.504,,TCRC1,720,-122.52861,39.88778
94,2018-08-01 23:30:00,222.504,,TCRC1,720,-122.52861,39.88778
95,2018-08-01 23:45:00,222.504,,TCRC1,720,-122.52861,39.88778
96,2018-08-02 00:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
97,2018-08-02 00:15:00,222.504,,TCRC1,720,-122.52861,39.88778
98,2018-08-02 00:30:00,222.504,,TCRC1,720,-122.52861,39.88778
99,2018-08-02 00:45:00,222.504,,TCRC1,720,-122.52861,39.88778
100,2018-08-02 01:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
101,2018-08-02 01:15:00,222.504,,TCRC1,720,-122.52861,39.88778
102,2018-08-02 01:30:00,222.504,,TCRC1,720,-122.52861,39.88778
103,2018-08-02 01:45:00,222.504,,TCRC1,720,-122.52861,39.88778
104,2018-08-02 02:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
105,2018-08-02 02:15:00,222.504,,TCRC1,720,-122.52861,39.88778
106,2018-08-02 02:30:00,222.504,,TCRC1,720,-122.52861,39.88778
107,2018-08-02 02:45:00,222.504,,TCRC1,720,-122.52861,39.88778
108,2018-08-02 03:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
109,2018-08-02 03:15:00,222.504,,TCRC1,720,-122.52861,39.88778
110,2018-08-02 03:30:00,222.504,,TCRC1,720,-122.52861,39.88778
111,2018-08-02 03:45:00,222.504,,TCRC1,720,-122.52861,39.88778
112,2018-08-02 04:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
113,2018-08-02 04:15:00,222.504,,TCRC1,720,-122.52861,39.88778
114,2018-08-02 04:30:00,222.504,,TCRC1,720,-122.52861,39.88778
115,2018-08-02 04:45:00,222.504,,TCRC1,720,-122.52861,39.88778
116,2018-08-02 05:00:00,222.504,0.0,TCRC1,720,-122.52861,39.88778
