,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:11:00,101828.66,,1.79,0.508,101131.88,14.3,,86.0,0.0,0.508,101824.08,16.67,E1752,190,-124.07447,40.88927
1,2018-08-01 00:26:00,101828.66,,0.9,0.508,101131.88,14.3,,86.0,0.0,0.508,101824.08,16.67,E1752,190,-124.07447,40.88927
2,2018-08-01 00:41:00,101828.66,,0.9,0.508,101131.88,14.3,,86.0,0.0,0.508,101824.08,16.67,E1752,190,-124.07447,40.88927
3,2018-08-01 00:56:00,101794.79,,0.45,0.508,101098.25,14.3,,86.0,0.0,0.508,101790.22,16.67,E1752,190,-124.07447,40.88927
4,2018-08-01 01:11:00,101760.93,ENE,1.79,0.508,101064.62,14.3,64.0,86.0,0.45,0.508,101756.36,16.67,E1752,190,-124.07447,40.88927
5,2018-08-01 01:26:00,101760.93,,0.9,0.508,101064.62,13.75,,86.0,0.0,0.508,101757.71,16.11,E1752,190,-124.07447,40.88927
6,2018-08-01 01:41:00,101760.93,,2.23,0.508,101064.62,13.75,,86.0,0.0,0.508,101757.71,16.11,E1752,190,-124.07447,40.88927
7,2018-08-01 01:56:00,101727.07,,0.9,0.508,101030.99,13.93,,87.0,0.0,0.508,101723.85,16.11,E1752,190,-124.07447,40.88927
8,2018-08-01 02:11:00,101727.07,,0.45,0.508,101030.99,14.1,,88.0,0.0,0.508,101723.85,16.11,E1752,190,-124.07447,40.88927
9,2018-08-01 02:26:00,101727.07,,0.0,0.508,101030.99,13.93,,87.0,0.0,0.508,101723.85,16.11,E1752,190,-124.07447,40.88927
10,2018-08-01 02:41:00,101727.07,,0.45,0.508,101030.99,13.39,,87.0,0.0,0.508,101725.17,15.56,E1752,190,-124.07447,40.88927
11,2018-08-01 02:56:00,101727.07,,0.0,0.508,101030.99,13.56,,88.0,0.0,0.508,101725.17,15.56,E1752,190,-124.07447,40.88927
12,2018-08-01 03:11:00,101727.07,,0.0,0.508,101030.99,13.56,,88.0,0.0,0.508,101725.17,15.56,E1752,190,-124.07447,40.88927
13,2018-08-01 03:26:00,101727.07,,0.0,0.508,101030.99,13.19,,89.0,0.0,0.508,101726.53,15.0,E1752,190,-124.07447,40.88927
14,2018-08-01 03:41:00,101727.07,,0.0,0.508,101030.99,13.19,,89.0,0.0,0.508,101726.53,15.0,E1752,190,-124.07447,40.88927
15,2018-08-01 03:56:00,101727.07,,0.45,0.508,101030.99,13.36,,90.0,0.0,0.508,101726.52,15.0,E1752,190,-124.07447,40.88927
16,2018-08-01 04:11:00,101727.07,,0.0,0.508,101030.99,12.98,,91.0,0.0,0.508,101727.88,14.44,E1752,190,-124.07447,40.88927
17,2018-08-01 04:26:00,101794.79,,0.0,0.508,101098.25,13.14,,92.0,0.0,0.508,101795.61,14.44,E1752,190,-124.07447,40.88927
18,2018-08-01 04:41:00,101794.79,,0.0,0.508,101098.25,13.14,,92.0,0.0,0.508,101795.61,14.44,E1752,190,-124.07447,40.88927
19,2018-08-01 04:56:00,101828.66,,0.0,0.508,101131.88,12.6,,92.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
20,2018-08-01 05:11:00,101862.52,,0.45,0.508,101165.51,12.77,,93.0,0.0,0.508,101864.67,13.89,E1752,190,-124.07447,40.88927
21,2018-08-01 05:26:00,101828.66,,0.45,0.508,101131.88,12.77,,93.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
22,2018-08-01 05:41:00,101828.66,,0.0,0.508,101131.88,12.77,,93.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
23,2018-08-01 05:56:00,101828.66,,0.0,0.508,101131.88,12.93,,94.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
24,2018-08-01 06:11:00,101828.66,,0.0,0.508,101131.88,12.93,,94.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
25,2018-08-01 06:26:00,101828.66,,0.0,0.508,101131.88,12.93,,94.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
26,2018-08-01 06:41:00,101828.66,,0.0,0.508,101131.88,12.93,,94.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
27,2018-08-01 06:56:00,101828.66,,0.0,0.508,101131.88,13.09,,95.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
28,2018-08-01 07:11:00,101828.66,,0.45,0.0,101131.88,13.09,,95.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
29,2018-08-01 07:26:00,101828.66,,0.9,0.0,101131.88,13.09,,95.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
30,2018-08-01 07:41:00,101828.66,,0.9,0.0,101131.88,13.09,,95.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
31,2018-08-01 07:56:00,101828.66,,0.45,0.0,101131.88,13.09,,95.0,0.0,0.508,101830.81,13.89,E1752,190,-124.07447,40.88927
