,date_time,precip_accum_set_1,volt_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,1129.792,13.12,0.0,MRNC1,263,-123.77500,40.18194
1,2018-08-01 00:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
2,2018-08-01 00:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
3,2018-08-01 00:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
4,2018-08-01 01:00:00,1129.792,13.12,,MRNC1,263,-123.77500,40.18194
5,2018-08-01 01:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
6,2018-08-01 01:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
7,2018-08-01 01:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
8,2018-08-01 02:00:00,1129.792,13.12,,MRNC1,263,-123.77500,40.18194
9,2018-08-01 02:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
10,2018-08-01 02:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
11,2018-08-01 02:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
12,2018-08-01 03:00:00,1129.792,13.12,,MRNC1,263,-123.77500,40.18194
13,2018-08-01 03:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
14,2018-08-01 03:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
15,2018-08-01 03:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
16,2018-08-01 04:00:00,1129.792,13.12,0.0,MRNC1,263,-123.77500,40.18194
17,2018-08-01 04:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
18,2018-08-01 04:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
19,2018-08-01 04:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
20,2018-08-01 05:00:00,1129.792,13.12,0.0,MRNC1,263,-123.77500,40.18194
21,2018-08-01 05:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
22,2018-08-01 05:30:00,1129.792,,,MRNC1,263,-123.77500,40.18194
23,2018-08-01 05:45:00,1129.792,,,MRNC1,263,-123.77500,40.18194
24,2018-08-01 06:00:00,1129.792,13.12,,MRNC1,263,-123.77500,40.18194
25,2018-08-01 06:15:00,1129.792,,,MRNC1,263,-123.77500,40.18194
