,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,wind_direction_set_1,wind_speed_set_1,relative_humidity_set_1,solar_radiation_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:03:00,101828.66,NNE,3.13,0.254,101538.96,13.93,19.0,1.34,84.0,204.0,0.254,101827.46,16.67,D0866,79,-124.20500,40.73133
1,2018-08-01 00:08:00,101828.66,N,3.58,0.254,101538.96,13.38,0.0,1.34,84.0,47.0,0.254,101828.02,16.11,D0866,79,-124.20500,40.73133
2,2018-08-01 00:13:00,101794.79,N,3.58,0.254,101505.19,13.57,9.0,0.9,85.0,49.0,0.254,101794.16,16.11,D0866,79,-124.20500,40.73133
3,2018-08-01 00:18:00,101794.79,,2.68,0.254,101505.19,13.21,,0.0,86.0,169.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
4,2018-08-01 00:23:00,101828.66,NNE,2.23,0.254,101538.96,13.21,13.0,0.45,86.0,169.0,0.254,101828.58,15.56,D0866,79,-124.20500,40.73133
5,2018-08-01 00:28:00,101794.79,N,2.68,0.254,101505.19,13.21,0.0,0.45,86.0,146.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
6,2018-08-01 00:33:00,101794.79,,4.02,0.254,101505.19,13.21,,0.0,86.0,86.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
7,2018-08-01 00:38:00,101794.79,N,4.02,0.254,101505.19,13.21,9.0,0.9,86.0,144.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
8,2018-08-01 00:43:00,101794.79,,3.13,0.254,101505.19,13.21,,0.0,86.0,144.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
9,2018-08-01 00:48:00,101794.79,N,4.02,0.254,101505.19,13.21,0.0,0.9,86.0,132.0,0.254,101794.71,15.56,D0866,79,-124.20500,40.73133
10,2018-08-01 00:53:00,101760.93,,4.02,0.254,101471.42,13.21,,0.0,86.0,116.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
11,2018-08-01 00:58:00,101760.93,,2.68,0.254,101471.42,13.21,,0.0,86.0,102.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
12,2018-08-01 01:03:00,101760.93,,2.23,0.254,101471.42,13.21,,0.0,86.0,95.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
13,2018-08-01 01:08:00,101760.93,N,3.13,0.254,101471.42,13.21,0.0,1.34,86.0,100.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
14,2018-08-01 01:13:00,101727.07,N,4.02,0.254,101437.66,13.39,5.0,0.45,87.0,84.0,0.254,101726.99,15.56,D0866,79,-124.20500,40.73133
15,2018-08-01 01:18:00,101760.93,,4.02,0.254,101471.42,13.39,,0.0,87.0,83.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
16,2018-08-01 01:23:00,101760.93,NNE,3.13,0.254,101471.42,13.39,24.0,1.34,87.0,77.0,0.254,101760.84,15.56,D0866,79,-124.20500,40.73133
