,date_time,volt_set_1,precip_accum_one_hour_set_1,precip_accum_set_1,snow_depth_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,12.6,0.0,618.744,22.86,23.89,BNKC1,6450,-122.37000,41.04000
1,2018-08-01 00:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
2,2018-08-01 00:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
3,2018-08-01 00:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
4,2018-08-01 01:00:00,12.6,0.0,618.744,12.7,25.0,BNKC1,6450,-122.37000,41.04000
5,2018-08-01 01:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
6,2018-08-01 01:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
7,2018-08-01 01:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
8,2018-08-01 02:00:00,12.6,0.0,618.744,12.7,25.56,BNKC1,6450,-122.37000,41.04000
9,2018-08-01 02:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
10,2018-08-01 02:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
11,2018-08-01 02:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
12,2018-08-01 03:00:00,12.6,0.0,618.744,2.54,22.78,BNKC1,6450,-122.37000,41.04000
13,2018-08-01 03:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
14,2018-08-01 03:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
15,2018-08-01 03:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
16,2018-08-01 04:00:00,12.4,0.0,618.744,12.7,20.0,BNKC1,6450,-122.37000,41.04000
17,2018-08-01 04:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
18,2018-08-01 04:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
19,2018-08-01 04:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
20,2018-08-01 05:00:00,12.4,0.0,618.744,12.7,18.89,BNKC1,6450,-122.37000,41.04000
21,2018-08-01 05:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
22,2018-08-01 05:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
23,2018-08-01 05:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
24,2018-08-01 06:00:00,12.4,0.0,618.744,25.4,17.22,BNKC1,6450,-122.37000,41.04000
25,2018-08-01 06:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
26,2018-08-01 06:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
27,2018-08-01 06:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
28,2018-08-01 07:00:00,12.3,0.0,618.744,17.78,17.22,BNKC1,6450,-122.37000,41.04000
29,2018-08-01 07:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
30,2018-08-01 07:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
31,2018-08-01 07:45:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
32,2018-08-01 08:00:00,12.3,0.0,618.744,12.7,17.78,BNKC1,6450,-122.37000,41.04000
33,2018-08-01 08:15:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
34,2018-08-01 08:30:00,,,618.744,,,BNKC1,6450,-122.37000,41.04000
