,date_time,T_water_temp_set_1,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,pressure_set_1d,wind_direction_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,11.12,101930.25,,,101931.08,,,,HBYC1,0,-124.21700,40.76670
1,2018-08-01 00:06:00,11.12,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
2,2018-08-01 00:12:00,11.68,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
3,2018-08-01 00:18:00,11.68,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
4,2018-08-01 00:24:00,11.68,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
5,2018-08-01 00:30:00,11.12,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
6,2018-08-01 00:36:00,11.68,101896.38,N,4.47,101897.21,351.0,4.02,12.79,HBYC1,0,-124.21700,40.76670
7,2018-08-01 00:42:00,11.68,101896.38,,,101897.21,,,,HBYC1,0,-124.21700,40.76670
8,2018-08-01 00:48:00,11.68,101862.52,,,101863.35,,,,HBYC1,0,-124.21700,40.76670
9,2018-08-01 00:54:00,11.68,101862.52,,,101863.35,,,,HBYC1,0,-124.21700,40.76670
10,2018-08-01 01:00:00,11.68,101862.52,,,101863.35,,,,HBYC1,0,-124.21700,40.76670
11,2018-08-01 01:06:00,11.68,101862.52,,,101863.35,,,,HBYC1,0,-124.21700,40.76670
12,2018-08-01 01:12:00,11.68,101862.52,,,101863.35,,,,HBYC1,0,-124.21700,40.76670
13,2018-08-01 01:18:00,11.68,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
14,2018-08-01 01:24:00,11.68,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
15,2018-08-01 01:30:00,11.68,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
16,2018-08-01 01:36:00,11.68,101828.66,N,6.7,101829.49,2.0,5.36,13.34,HBYC1,0,-124.21700,40.76670
17,2018-08-01 01:42:00,11.68,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
18,2018-08-01 01:48:00,11.68,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
19,2018-08-01 01:54:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
20,2018-08-01 02:00:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
21,2018-08-01 02:06:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
22,2018-08-01 02:12:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
23,2018-08-01 02:18:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
24,2018-08-01 02:24:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
25,2018-08-01 02:30:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
26,2018-08-01 02:36:00,11.68,101794.79,N,7.15,101795.62,10.0,6.26,13.34,HBYC1,0,-124.21700,40.76670
27,2018-08-01 02:42:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
28,2018-08-01 02:48:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
29,2018-08-01 02:54:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
30,2018-08-01 03:00:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
31,2018-08-01 03:06:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
32,2018-08-01 03:12:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
33,2018-08-01 03:18:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
34,2018-08-01 03:24:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
35,2018-08-01 03:30:00,11.68,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
36,2018-08-01 03:36:00,12.23,101794.79,N,6.26,101795.62,353.0,5.36,13.34,HBYC1,0,-124.21700,40.76670
37,2018-08-01 03:42:00,12.23,101794.79,,,101795.62,,,,HBYC1,0,-124.21700,40.76670
38,2018-08-01 03:48:00,12.23,101828.66,,,101829.49,,,,HBYC1,0,-124.21700,40.76670
