,date_time,soil_temp_set_1,dew_point_temperature_set_1d,heat_index_set_1d,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 10:00:00,20.47,7.25,,45.51,19.38,ALZC1,3438,-120.82000,39.20000
1,2018-08-01 10:04:00,20.46,7.1,,45.42,19.25,ALZC1,3438,-120.82000,39.20000
2,2018-08-01 10:08:00,20.46,6.97,,44.79,19.33,ALZC1,3438,-120.82000,39.20000
3,2018-08-01 10:12:00,20.43,6.96,,44.79,19.32,ALZC1,3438,-120.82000,39.20000
4,2018-08-01 10:16:00,20.43,7.01,,45.04,19.28,ALZC1,3438,-120.82000,39.20000
5,2018-08-01 10:20:00,20.42,6.92,,44.92,19.23,ALZC1,3438,-120.82000,39.20000
6,2018-08-01 10:24:00,20.41,6.82,,44.63,19.22,ALZC1,3438,-120.82000,39.20000
7,2018-08-01 10:28:00,20.39,6.79,,44.44,19.26,ALZC1,3438,-120.82000,39.20000
8,2018-08-01 10:33:00,20.41,6.76,,44.48,19.21,ALZC1,3438,-120.82000,39.20000
9,2018-08-01 10:37:00,20.38,6.74,,44.68,19.12,ALZC1,3438,-120.82000,39.20000
10,2018-08-01 10:41:00,20.37,6.58,,44.21,19.11,ALZC1,3438,-120.82000,39.20000
11,2018-08-01 10:45:00,20.37,6.67,,44.46,19.12,ALZC1,3438,-120.82000,39.20000
12,2018-08-01 10:49:00,20.36,6.62,,44.48,19.06,ALZC1,3438,-120.82000,39.20000
13,2018-08-01 10:53:00,20.36,6.63,,44.7,18.99,ALZC1,3438,-120.82000,39.20000
14,2018-08-01 10:57:00,20.34,6.61,,44.66,18.98,ALZC1,3438,-120.82000,39.20000
15,2018-08-01 11:00:00,20.33,6.64,,44.85,18.95,ALZC1,3438,-120.82000,39.20000
16,2018-08-01 11:04:00,20.32,6.42,,44.23,18.93,ALZC1,3438,-120.82000,39.20000
17,2018-08-01 11:08:00,20.32,6.34,,44.11,18.88,ALZC1,3438,-120.82000,39.20000
18,2018-08-01 11:12:00,20.31,6.44,,44.42,18.88,ALZC1,3438,-120.82000,39.20000
19,2018-08-01 11:16:00,20.3,6.39,,44.27,18.88,ALZC1,3438,-120.82000,39.20000
20,2018-08-01 11:20:00,20.28,6.26,,43.94,18.86,ALZC1,3438,-120.82000,39.20000
21,2018-08-01 11:24:00,20.28,6.24,,43.83,18.88,ALZC1,3438,-120.82000,39.20000
22,2018-08-01 11:28:00,20.27,6.19,,43.72,18.86,ALZC1,3438,-120.82000,39.20000
23,2018-08-01 11:33:00,20.27,6.31,,44.18,18.83,ALZC1,3438,-120.82000,39.20000
24,2018-08-01 11:37:00,20.26,6.3,,44.38,18.74,ALZC1,3438,-120.82000,39.20000
25,2018-08-01 11:41:00,20.24,6.23,,44.37,18.67,ALZC1,3438,-120.82000,39.20000
26,2018-08-01 11:45:00,20.23,6.23,,44.42,18.65,ALZC1,3438,-120.82000,39.20000
27,2018-08-01 11:49:00,20.23,6.15,,44.33,18.6,ALZC1,3438,-120.82000,39.20000
28,2018-08-01 11:53:00,20.22,6.15,,44.26,18.62,ALZC1,3438,-120.82000,39.20000
29,2018-08-01 11:57:00,20.2,6.0,,43.69,18.67,ALZC1,3438,-120.82000,39.20000
30,2018-08-01 12:00:00,20.19,6.05,,43.83,18.67,ALZC1,3438,-120.82000,39.20000
31,2018-08-01 12:04:00,20.19,6.07,,43.98,18.64,ALZC1,3438,-120.82000,39.20000
32,2018-08-01 12:08:00,20.18,6.02,,44.09,18.54,ALZC1,3438,-120.82000,39.20000
33,2018-08-01 12:12:00,20.17,5.98,,44.19,18.46,ALZC1,3438,-120.82000,39.20000
34,2018-08-01 12:16:00,20.16,5.93,,44.07,18.45,ALZC1,3438,-120.82000,39.20000
35,2018-08-01 12:20:00,20.15,5.94,,44.29,18.38,ALZC1,3438,-120.82000,39.20000
36,2018-08-01 12:24:00,20.14,5.99,,44.55,18.34,ALZC1,3438,-120.82000,39.20000
37,2018-08-01 12:28:00,20.14,5.91,,44.47,18.28,ALZC1,3438,-120.82000,39.20000
38,2018-08-01 12:33:00,20.12,5.87,,44.43,18.25,ALZC1,3438,-120.82000,39.20000
39,2018-08-01 12:37:00,20.12,5.83,,44.42,18.21,ALZC1,3438,-120.82000,39.20000
40,2018-08-01 12:41:00,20.11,5.73,,44.37,18.12,ALZC1,3438,-120.82000,39.20000
41,2018-08-01 12:45:00,20.09,5.62,,43.94,18.16,ALZC1,3438,-120.82000,39.20000
42,2018-08-01 12:49:00,20.09,5.59,,43.66,18.23,ALZC1,3438,-120.82000,39.20000
43,2018-08-01 12:53:00,20.08,5.55,,43.4,18.28,ALZC1,3438,-120.82000,39.20000
44,2018-08-01 12:57:00,20.07,5.53,,43.41,18.25,ALZC1,3438,-120.82000,39.20000
45,2018-08-01 13:00:00,20.06,5.44,,43.07,18.28,ALZC1,3438,-120.82000,39.20000
46,2018-08-01 13:04:00,20.06,5.4,,42.87,18.31,ALZC1,3438,-120.82000,39.20000
47,2018-08-01 13:08:00,20.04,5.35,,42.8,18.28,ALZC1,3438,-120.82000,39.20000
48,2018-08-01 13:12:00,20.04,5.35,,42.73,18.3,ALZC1,3438,-120.82000,39.20000
49,2018-08-01 13:16:00,20.03,5.41,,42.83,18.33,ALZC1,3438,-120.82000,39.20000
50,2018-08-01 13:20:00,20.02,5.6,,43.39,18.33,ALZC1,3438,-120.82000,39.20000
51,2018-08-01 13:24:00,20.01,5.72,,43.96,18.26,ALZC1,3438,-120.82000,39.20000
52,2018-08-01 13:28:00,20.01,5.71,,44.2,18.16,ALZC1,3438,-120.82000,39.20000
53,2018-08-01 13:33:00,19.99,5.67,,44.21,18.12,ALZC1,3438,-120.82000,39.20000
54,2018-08-01 13:37:00,19.98,5.9,,45.08,18.06,ALZC1,3438,-120.82000,39.20000
55,2018-08-01 13:41:00,19.97,5.65,,44.43,18.01,ALZC1,3438,-120.82000,39.20000
56,2018-08-01 13:45:00,19.97,5.65,,44.31,18.06,ALZC1,3438,-120.82000,39.20000
57,2018-08-01 13:49:00,19.96,5.69,,44.12,18.17,ALZC1,3438,-120.82000,39.20000
58,2018-08-01 13:53:00,19.95,5.67,,43.87,18.24,ALZC1,3438,-120.82000,39.20000
59,2018-08-01 13:57:00,19.94,5.78,,43.87,18.36,ALZC1,3438,-120.82000,39.20000
60,2018-08-01 14:00:00,19.92,5.98,,44.43,18.38,ALZC1,3438,-120.82000,39.20000
61,2018-08-01 14:04:00,19.92,6.02,,44.65,18.34,ALZC1,3438,-120.82000,39.20000
62,2018-08-01 14:08:00,19.91,5.94,,44.38,18.35,ALZC1,3438,-120.82000,39.20000
63,2018-08-01 14:12:00,19.89,6.03,,44.46,18.42,ALZC1,3438,-120.82000,39.20000
64,2018-08-01 14:16:00,19.89,6.25,,44.91,18.5,ALZC1,3438,-120.82000,39.20000
65,2018-08-01 14:20:00,19.88,6.47,,45.38,18.57,ALZC1,3438,-120.82000,39.20000
66,2018-08-01 14:24:00,19.88,6.63,,45.99,18.54,ALZC1,3438,-120.82000,39.20000
67,2018-08-01 14:28:00,19.86,6.68,,46.17,18.53,ALZC1,3438,-120.82000,39.20000
68,2018-08-01 14:33:00,19.85,6.76,,46.39,18.54,ALZC1,3438,-120.82000,39.20000
69,2018-08-01 14:37:00,19.84,7.35,,47.92,18.67,ALZC1,3438,-120.82000,39.20000
70,2018-08-01 14:41:00,19.84,7.23,,47.32,18.74,ALZC1,3438,-120.82000,39.20000
71,2018-08-01 14:45:00,19.83,7.17,,47.03,18.77,ALZC1,3438,-120.82000,39.20000
72,2018-08-01 14:49:00,19.82,7.32,,47.04,18.93,ALZC1,3438,-120.82000,39.20000
73,2018-08-01 14:53:00,19.81,6.89,,45.28,19.07,ALZC1,3438,-120.82000,39.20000
74,2018-08-01 14:57:00,19.81,7.11,,45.46,19.25,ALZC1,3438,-120.82000,39.20000
75,2018-08-01 15:00:00,19.79,6.85,,44.06,19.46,ALZC1,3438,-120.82000,39.20000
76,2018-08-01 15:04:00,19.79,7.14,,44.35,19.68,ALZC1,3438,-120.82000,39.20000
77,2018-08-01 15:08:00,19.78,7.12,,43.73,19.88,ALZC1,3438,-120.82000,39.20000
78,2018-08-01 15:12:00,19.78,7.82,,45.36,20.06,ALZC1,3438,-120.82000,39.20000
79,2018-08-01 15:16:00,19.76,7.91,,45.36,20.15,ALZC1,3438,-120.82000,39.20000
80,2018-08-01 15:20:00,19.76,8.3,,46.26,20.26,ALZC1,3438,-120.82000,39.20000
81,2018-08-01 15:24:00,19.75,8.71,,47.12,20.41,ALZC1,3438,-120.82000,39.20000
82,2018-08-01 15:28:00,19.74,8.98,,47.4,20.61,ALZC1,3438,-120.82000,39.20000
83,2018-08-01 15:33:00,19.73,9.22,,47.48,20.84,ALZC1,3438,-120.82000,39.20000
84,2018-08-01 15:37:00,19.72,9.1,,46.23,21.15,ALZC1,3438,-120.82000,39.20000
85,2018-08-01 15:41:00,19.71,9.01,,45.0,21.49,ALZC1,3438,-120.82000,39.20000
86,2018-08-01 15:45:00,19.71,9.87,,46.91,21.75,ALZC1,3438,-120.82000,39.20000
87,2018-08-01 15:49:00,19.7,10.02,,46.76,21.96,ALZC1,3438,-120.82000,39.20000
88,2018-08-01 15:53:00,19.69,10.34,,47.21,22.16,ALZC1,3438,-120.82000,39.20000
89,2018-08-01 15:57:00,19.68,10.73,,47.83,22.37,ALZC1,3438,-120.82000,39.20000
90,2018-08-01 16:00:00,19.68,10.94,,48.05,22.52,ALZC1,3438,-120.82000,39.20000
91,2018-08-01 16:04:00,19.67,10.91,,47.38,22.72,ALZC1,3438,-120.82000,39.20000
92,2018-08-01 16:08:00,19.67,11.41,,48.24,22.96,ALZC1,3438,-120.82000,39.20000
93,2018-08-01 16:12:00,19.67,11.61,,48.36,23.14,ALZC1,3438,-120.82000,39.20000
94,2018-08-01 16:16:00,19.66,11.92,,48.62,23.39,ALZC1,3438,-120.82000,39.20000
95,2018-08-01 16:20:00,19.66,12.04,,48.27,23.64,ALZC1,3438,-120.82000,39.20000
