,date_time,wind_cardinal_direction_set_1d,pressure_set_1,altimeter_set_1d,wind_direction_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,NNE,98792.0,100556.42,25.79,,41.04,CQ098,489,-122.38083,40.55139
1,2018-08-01 01:00:00,NNE,98752.0,100515.71,16.95,,38.62,CQ098,489,-122.38083,40.55139
2,2018-08-01 02:00:00,N,98699.0,100461.76,357.7,,35.99,CQ098,489,-122.38083,40.55139
3,2018-08-01 03:00:00,NNW,98686.0,100448.53,346.8,,32.26,CQ098,489,-122.38083,40.55139
4,2018-08-01 04:00:00,NNW,98659.0,100421.04,341.8,,28.31,CQ098,489,-122.38083,40.55139
5,2018-08-01 05:00:00,WNW,98686.0,100448.53,302.4,,25.62,CQ098,489,-122.38083,40.55139
6,2018-08-01 06:00:00,W,98739.0,100502.47,272.4,,24.69,CQ098,489,-122.38083,40.55139
7,2018-08-01 09:00:00,NNW,98752.0,100515.71,344.9,,21.58,CQ098,489,-122.38083,40.55139
8,2018-08-01 10:00:00,N,98739.0,100502.47,357.7,,21.05,CQ098,489,-122.38083,40.55139
9,2018-08-01 11:00:00,NE,98739.0,100502.47,34.49,,20.48,CQ098,489,-122.38083,40.55139
10,2018-08-01 12:00:00,N,98726.0,100489.24,3.41,,19.99,CQ098,489,-122.38083,40.55139
11,2018-08-01 13:00:00,NNE,98726.0,100489.24,19.36,,22.24,CQ098,489,-122.38083,40.55139
12,2018-08-01 14:00:00,NNE,98752.0,100515.71,19.21,,22.41,CQ098,489,-122.38083,40.55139
13,2018-08-01 15:00:00,NNE,98819.0,100583.9,19.86,68.52,22.21,CQ098,489,-122.38083,40.55139
14,2018-08-01 16:00:00,NNE,98886.0,100652.1,22.29,84.27,22.32,CQ098,489,-122.38083,40.55139
15,2018-08-01 17:00:00,NNE,98966.0,100733.53,26.69,47.96,22.75,CQ098,489,-122.38083,40.55139
16,2018-08-01 18:00:00,NNE,99019.0,100787.47,31.68,51.96,22.96,CQ098,489,-122.38083,40.55139
17,2018-08-01 19:00:00,NE,99019.0,100787.47,36.41,55.51,21.34,CQ098,489,-122.38083,40.55139
18,2018-08-01 20:00:00,NE,98992.0,100759.99,39.32,52.11,21.6,CQ098,489,-122.38083,40.55139
19,2018-08-01 21:00:00,NE,98939.0,100706.05,42.08,43.7,22.54,CQ098,489,-122.38083,40.55139
20,2018-08-01 22:00:00,NE,98846.0,100611.38,43.68,51.75,22.59,CQ098,489,-122.38083,40.55139
21,2018-08-01 23:00:00,NE,98766.0,100529.96,44.68,55.61,22.44,CQ098,489,-122.38083,40.55139
22,2018-08-02 00:00:00,NE,98686.0,100448.53,44.28,57.41,22.84,CQ098,489,-122.38083,40.55139
23,2018-08-02 01:00:00,NE,98659.0,100421.04,42.12,58.7,23.1,CQ098,489,-122.38083,40.55139
24,2018-08-02 02:00:00,NE,98672.0,100434.28,38.9,62.81,22.98,CQ098,489,-122.38083,40.55139
25,2018-08-02 03:00:00,NE,98672.0,100434.28,34.21,72.33,22.1,CQ098,489,-122.38083,40.55139
26,2018-08-02 04:00:00,NNE,98646.0,100407.81,29.07,86.02,22.11,CQ098,489,-122.38083,40.55139
27,2018-08-02 05:00:00,NNE,98686.0,100448.53,26.07,,21.9,CQ098,489,-122.38083,40.55139
28,2018-08-02 06:00:00,NNE,98712.0,100474.99,24.16,,21.45,CQ098,489,-122.38083,40.55139
29,2018-08-02 07:00:00,NNE,98726.0,100489.24,23.24,,21.69,CQ098,489,-122.38083,40.55139
30,2018-08-02 08:00:00,NNE,98752.0,100515.71,22.36,,22.54,CQ098,489,-122.38083,40.55139
31,2018-08-02 09:00:00,WNW,98752.0,100515.71,293.8,,21.57,CQ098,489,-122.38083,40.55139
32,2018-08-02 10:00:00,N,98726.0,100489.24,0.27,,20.51,CQ098,489,-122.38083,40.55139
33,2018-08-02 11:00:00,S,98712.0,100474.99,187.3,,19.32,CQ098,489,-122.38083,40.55139
34,2018-08-02 12:00:00,WNW,98699.0,100461.76,286.5,,18.61,CQ098,489,-122.38083,40.55139
35,2018-08-02 13:00:00,NNE,98699.0,100461.76,18.25,,22.56,CQ098,489,-122.38083,40.55139
36,2018-08-02 14:00:00,NNE,98726.0,100489.24,18.19,4.09,22.3,CQ098,489,-122.38083,40.55139
37,2018-08-02 15:00:00,NNE,98752.0,100515.71,18.93,35.2,22.64,CQ098,489,-122.38083,40.55139
38,2018-08-02 16:00:00,NNE,98819.0,100583.9,21.64,29.95,22.75,CQ098,489,-122.38083,40.55139
39,2018-08-02 17:00:00,NNE,98912.0,100678.56,25.29,32.11,22.55,CQ098,489,-122.38083,40.55139
40,2018-08-02 18:00:00,NNE,98939.0,100706.05,29.42,25.67,22.49,CQ098,489,-122.38083,40.55139
41,2018-08-02 19:00:00,NE,98966.0,100733.53,33.95,36.27,22.88,CQ098,489,-122.38083,40.55139
42,2018-08-02 20:00:00,NE,98952.0,100719.28,37.3,54.22,23.11,CQ098,489,-122.38083,40.55139
43,2018-08-02 21:00:00,NE,98899.0,100665.33,38.95,76.91,23.02,CQ098,489,-122.38083,40.55139
44,2018-08-02 22:00:00,NE,98819.0,100583.9,39.88,43.92,23.14,CQ098,489,-122.38083,40.55139
45,2018-08-02 23:00:00,NE,98739.0,100502.47,41.37,48.23,23.03,CQ098,489,-122.38083,40.55139
46,2018-08-03 00:00:00,NE,98672.0,100434.28,42.28,58.08,23.02,CQ098,489,-122.38083,40.55139
